adresse,num,proprio[global],collectif,sexe,statut_femme,proprio_titre*,proprio_particule*,proprio_name*,proprio_ad,proprio_numAd,commune_propio,proprio_region*,Pays,same_place*,commentaire,x_dom,y_dom,postcode_en2020_dom,source_dom,url_dom,score_dom
rue de l’Abbaye,3,La Guibourgère (C. de),,M,,Comte,de,La Guibourgère,place St Germain des Prés,3,Paris,Paris,France,non,,2.33367,48.854032,75006,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=3+place+St+Germain+des+Prés&lat=48.8566&lon=2.3522&limit=100,0.7508273094721722
rue de l’Abbaye,5,La Guibourgère (C. de),,M,,Comte,de,La Guibourgère,place St Germain des Prés,3,Paris,Paris,France,non,,2.33367,48.854032,75006,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=3+place+St+Germain+des+Prés&lat=48.8566&lon=2.3522&limit=100,0.7508273094721722
rue de l’Abbaye,7,La Guibourgère (C. de),,M,,Comte,de,La Guibourgère,place St Germain des Prés,3,Paris,Paris,France,non,,2.33367,48.854032,75006,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=3+place+St+Germain+des+Prés&lat=48.8566&lon=2.3522&limit=100,0.7508273094721722
rue de l’Abbaye,11,Vallois,,,,-0,-0,Vallois,rue Abbaye,13,Paris,Paris,France,non,,2.334369,48.854264,75006,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=13+rue+Abbaye&lat=48.8566&lon=2.3522&limit=100,0.6552440682498437
rue de l’Abbaye,13,Vallois,,,,-0,-0,Vallois,rue Abbaye,13,Paris,Paris,France,oui,,2.334369,48.854264,75006,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=13+rue+Abbaye&lat=48.8566&lon=2.3522&limit=100,0.6552440682498437
rue de l’Abbaye,6,Michau et Douanne,,,,-0,-0,Michau et Douanne,rue Denfert Rochereau,47,Paris,Paris,France,non,,,,,,https://api-adresse.data.gouv.fr/search/?q=47+rue+Denfert+Rochereau&lat=48.8566&lon=2.3522&limit=100,
rue de l’Abbaye,8,Delmas,,,,-0,-0,Delmas,rue Lota,2,Paris,Paris,France,non,,2.387102,48.871267,75020,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=2+rue+Lota&lat=48.8566&lon=2.3522&limit=100,0.3628742327371766
rue de l’Abbaye,10,Peignot,,,,-0,-0,Peignot,boulevard Edgar Quinet,68,Paris,Paris,France,non,,2.324811,48.840789,75014,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=68+boulevard+Edgar+Quinet&lat=48.8566&lon=2.3522&limit=100,0.4410379617972301
rue de l’Abbaye,12,Romagny,,,,-0,-0,Romagny,avenue Marigny,37,Paris,Paris,France,non,,2.314684,48.869314,75008,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=37+avenue+Marigny&lat=48.8566&lon=2.3522&limit=100,0.6382512145692796
rue de l’Abbaye,14,St-Luc (Cte de),,M,,Comte,de,St-Luc,rue Abbaye,14,Paris,Paris,France,oui,,2.334128,48.854435,75006,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=14+rue+Abbaye&lat=48.8566&lon=2.3522&limit=100,0.6552428442565541
rue de l’Abbaye,16,Lenègre (Vve),,F,Veuve,-0,-0,Lenègre,avenue Mignot,16,,Seine-et-Oise,France,non,,,,,,https://api-adresse.data.gouv.fr/search/?q=16+avenue+Mignot&lat=48.8566&lon=2.3522&limit=100,
rue de l’Abbaye,22,Baudreuil (de),,,,-0,de,Baudreuil,rue Bonaparte,29,Paris,Paris,France,non,,2.333882,48.855031,75006,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=29+rue+Bonaparte&lat=48.8566&lon=2.3522&limit=100,0.8758304015985041
rue de l’Abbé de L’épée,1,Moulu (Mme),,F,Mme,-0,-0,Moulu,rue Abbé de l’Epée,1,Paris,Paris,France,oui,,2.34244,48.843008,75005,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=1+rue+Abbé+de+l’Epée&lat=48.8566&lon=2.3522&limit=100,0.721080808478957
rue de l’Abbé de L’épée,3,Madiot,,,,-0,-0,Madiot,-0,Scey s/Saône (Hte-Sne),,Haute-Saône,France,non,,,,,,https://api-adresse.data.gouv.fr/search/?q=Scey+s/Saône+(Hte-Sne)+-0&lat=48.8566&lon=2.3522&limit=100,
rue de l’Abbé de L’épée,5,Mabille,,,,-0,-0,Mabille,rue Abbé de l’Epée,5,Paris,Paris,France,oui,,2.342156,48.843076,75005,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=5+rue+Abbé+de+l’Epée&lat=48.8566&lon=2.3522&limit=100,0.7210805652953267
rue de l’Abbé de L’épée,7,Saulier,,,,-0,-0,Saulier,rue Abbé de l’Epée,7,Paris,Paris,France,oui,,2.341973,48.84312,75005,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=7+rue+Abbé+de+l’Epée&lat=48.8566&lon=2.3522&limit=100,0.7210803933977401
rue de l’Abbé de L’épée,9,Briault,,,,-0,-0,Briault,rue St Antoine,232,Paris,Paris,France,non,,2.367989,48.853201,75004,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=232+rue+St+Antoine&lat=48.8566&lon=2.3522&limit=100,0.5527560649818071
rue de l’Abbé de L’épée,4.,Vurer,,,,-0,-0,Vurer,rue Abbé de l’Epée,4,Paris,Paris,France,non,,2.342103,48.843298,75005,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=4+rue+Abbé+de+l’Epée&lat=48.8566&lon=2.3522&limit=100,0.7210828240008285
rue de l’Abbé de L’épée,6,Gérard,,,,-0,-0,Gérard,-0,Thomery,,Seine-et-Marne,France,non,,,,,,https://api-adresse.data.gouv.fr/search/?q=Thomery+-0&lat=48.8566&lon=2.3522&limit=100,
rue de l’Abbé de L’épée,8,Farin,,,,-0,-0,Farin,rue Abbé de l’Epée,8,Paris,Paris,France,oui,,2.341842,48.843361,75005,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=8+rue+Abbé+de+l’Epée&lat=48.8566&lon=2.3522&limit=100,0.7210825610201945
rue de l’Abbé de L’épée,10,Ville de Paris,Etat,,,-0,-0,Ville de Paris,-0,-0,Paris,Paris,France,non,,,,,,https://api-adresse.data.gouv.fr/search/?q=-0+-0&lat=48.8566&lon=2.3522&limit=100,
rue de l’Abbé de L’épée,12,Monnier (Mme),,F,Mme,-0,-0,Monnier,rue Abbé de l’Epée,12,Paris,Paris,France,oui,,2.340575,48.84369,75005,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=12+rue+Abbé+de+l’Epée&lat=48.8566&lon=2.3522&limit=100,0.7273311396339731
rue de l’Abbé de L’épée,14,Wickmann,,,,-0,-0,Wickmann,rue Abbé de l’Epée,14,Paris,Paris,France,oui,,2.340439,48.84372,75005,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=14+rue+Abbé+de+l’Epée&lat=48.8566&lon=2.3522&limit=100,0.7273308915216061
rue de l’Abbé de L’épée,16,Fabre (Hiers),,,,-0,-0,Fabre,rue Abbé de l’Epée,16,Paris,Paris,France,oui,,2.340206,48.843754,75005,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=16+rue+Abbé+de+l’Epée&lat=48.8566&lon=2.3522&limit=100,0.727330265762015
rue de l’Abbé de L’épée,18,Loriol (Vve),,F,Veuve,-0,-0,Loriol,rue Mont Thabor,6,Paris,Paris,France,non,,2.329258,48.865544,75001,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=6+rue+Mont+Thabor&lat=48.8566&lon=2.3522&limit=100,0.7534968892378979
rue de l’Abbé Grégoire,1,Guesdon,,,,-0,-0,Guesdon,rue Abbé Grégoire,1,Paris,Paris,France,oui,,2.323487,48.8497,75006,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=1+rue+Abbé+Grégoire&lat=48.8566&lon=2.3522&limit=100,0.7126813499984124
rue de l’Abbé Grégoire,3,Breton (Vve),,F,Veuve,-0,-0,Breton,rue Abbé Grégoire,3,Paris,Paris,France,oui,,2.323563,48.849628,75006,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=3+rue+Abbé+Grégoire&lat=48.8566&lon=2.3522&limit=100,0.7126817146999872
